iter,train_error,train_error_2
2000,2.4884089999999999,2.4884089999999999
4000,1.6834150000000001,1.6834150000000001
6000,1.4279059999999999,1.4279059999999999
8000,1.253773,1.253773
100000,0.24614900000000001,0.24614900000000001
10000,1.100144,1.100144
101000,0.23822099999999999,0.23822099999999999
102000,0.238515,0.238515
103000,0.23538999999999999,0.23538999999999999
104000,0.23244799999999999,0.23244799999999999
105000,0.23210900000000001,0.23210900000000001
106000,0.23047699999999999,0.23047699999999999
107000,0.22664500000000001,0.22664500000000001
108000,0.23025200000000001,0.23025200000000001
109000,0.22927900000000001,0.22927900000000001
110000,0.229021,0.229021
11000,1.0614239999999999,1.0614239999999999
111000,0.222779,0.222779
112000,0.22345899999999999,0.22345899999999999
113000,0.21956300000000001,0.21956300000000001
114000,0.22333500000000001,0.22333500000000001
115000,0.21797900000000001,0.21797900000000001
12000,0.99416499999999997,0.99416499999999997
13000,0.95261099999999999,0.95261099999999999
14000,0.93301999999999996,0.93301999999999996
15000,0.89123300000000005,0.89123300000000005
16000,0.84339699999999995,0.84339699999999995
17000,0.83609500000000003,0.83609500000000003
18000,0.80225599999999997,0.80225599999999997
19000,0.74621199999999999,0.74621199999999999
20000,0.74803500000000001,0.74803500000000001
21000,0.69883799999999996,0.69883799999999996
22000,0.72538100000000005,0.72538100000000005
23000,0.66949899999999996,0.66949899999999996
24000,0.65920900000000004,0.65920900000000004
25000,0.63304899999999997,0.63304899999999997
26000,0.613846,0.613846
27000,0.60472400000000004,0.60472400000000004
28000,0.57181700000000002,0.57181700000000002
29000,0.56671099999999996,0.56671099999999996
30000,0.57290600000000003,0.57290600000000003
31000,0.55388899999999996,0.55388899999999996
32000,0.53544099999999994,0.53544099999999994
33000,0.538601,0.538601
34000,0.51195000000000002,0.51195000000000002
35000,0.49957699999999999,0.49957699999999999
36000,0.486207,0.486207
37000,0.48322700000000002,0.48322700000000002
38000,0.46410099999999999,0.46410099999999999
39000,0.460949,0.460949
40000,0.46823900000000002,0.46823900000000002
41000,0.44751999999999997,0.44751999999999997
42000,0.454818,0.454818
43000,0.43955,0.43955
44000,0.43706800000000001,0.43706800000000001
45000,0.44223499999999999,0.44223499999999999
46000,0.42597800000000002,0.42597800000000002
47000,0.39697300000000002,0.39697300000000002
48000,0.40274399999999999,0.40274399999999999
49000,0.424896,0.424896
50000,0.40023199999999998,0.40023199999999998
51000,0.40717500000000001,0.40717500000000001
52000,0.38804,0.38804
53000,0.39075399999999999,0.39075399999999999
54000,0.37764300000000001,0.37764300000000001
55000,0.34820200000000001,0.34820200000000001
56000,0.379361,0.379361
57000,0.37058099999999999,0.37058099999999999
58000,0.36540499999999998,0.36540499999999998
59000,0.367703,0.367703
60000,0.36313299999999998,0.36313299999999998
61000,0.35230600000000001,0.35230600000000001
62000,0.35677900000000001,0.35677900000000001
63000,0.33746999999999999,0.33746999999999999
64000,0.32772200000000001,0.32772200000000001
65000,0.34903299999999998,0.34903299999999998
66000,0.36438700000000002,0.36438700000000002
67000,0.31897399999999998,0.31897399999999998
68000,0.31640800000000002,0.31640800000000002
69000,0.37312299999999998,0.37312299999999998
70000,0.31295699999999999,0.31295699999999999
71000,0.309255,0.309255
72000,0.36109000000000002,0.36109000000000002
73000,0.30724200000000002,0.30724200000000002
74000,0.31097200000000003,0.31097200000000003
75000,0.35001100000000002,0.35001100000000002
76000,0.31767299999999998,0.31767299999999998
77000,0.29734899999999997,0.29734899999999997
78000,0.32645600000000002,0.32645600000000002
79000,0.31053500000000001,0.31053500000000001
80000,0.299653,0.299653
81000,0.29579800000000001,0.29579800000000001
82000,0.30660700000000002,0.30660700000000002
83000,0.31083300000000003,0.31083300000000003
84000,0.31591999999999998,0.31591999999999998
85000,0.32337300000000002,0.32337300000000002
86000,0.28007399999999999,0.28007399999999999
87000,0.28811999999999999,0.28811999999999999
88000,0.32874999999999999,0.32874999999999999
89000,0.29946099999999998,0.56132400000000005
91000,0.27222000000000002,0.39656400000000003
93000,0.29772399999999999,1.158852
90000,0.28693800000000003,0.33067600000000003
92000,0.31617000000000001,0.28442200000000001
94000,0.300456,0.334982
95000,0.32337300000000002,0.27545500000000001
96000,0.28507399999999999,0.26322800000000002
97000,0.28212999999999999,0.257129
98000,0.32758999999999999,0.25276199999999999
99000,0.29918299999999998,0.246446
100000,0.314392,0.24961700000000001
,,
,,
